Titulo,Sinopsis,Fecha_Estreno,Genero_Principal,Puntuacion_Media_TMDb
Ciudad sin ley,"Jang Chen llega de China y trabaja como prestamista en una sórdida zona de Chinatown en Seúl. Está respaldado por sus esbirros sanguinarios Wei Sung-Rak y Yang-Tae. Mientras tanto, Ma Suk-Do es un detective en el área de Chinatown de Seúl. Él trata de mantener la paz, mientras que dos pandillas chino-coreanas luchan por el poder.",2017-10-03,Accion,7.6
Matrix Revolutions,"Quedan veinte horas para la irrupción de las máquinas en Sión, el último bastión de los humanos libres. Mientras el cuerpo de Neo permanece en coma, su consciencia se encuentra en tierra de nadie, en un lugar entre el mundo humano y el de las máquinas.",2003-11-05,Accion,6.754
El retorno del Jedi,"Luke Skywalker y la princesa Leia deben viajar a Tatooine para liberar a Han Solo. Para conseguirlo, deben infiltrarse en la peligrosa guarida de Jabba the Hutt, el gángster más temido de la galaxia. Una vez reunidos, el equipo recluta a tribus de Ewoks para combatir a las fuerzas imperiales en los bosques de la luna de Endor. Mientras tanto, el Emperador y Darth Vader conspiran para convertir a Luke al lado oscuro, pero el joven Skywalker, por su parte, está decidido a reavivar el espíritu del Jedi en su padre. La guerra civil galáctica culmina en un último enfrentamiento entre las fuerzas rebeldes unificadas y una segunda Estrella de la Muerte, indefensa e incompleta, en una batalla que decidirá el destino de la galaxia.",1983-05-25,Accion,7.909
The Equalizer 2,"Robert McCall imparte una justicia inquebrantable a los explotados y oprimidos, pero eso podría cambiar cuando se trata de un ser querido.",2018-07-19,Accion,6.8
Red One,"Tras el secuestro de Papá Noel (nombre en clave: RED ONE), el Jefe de Seguridad del Polo Norte (Dwayne Johnson) debe formar equipo con el cazarrecompensas más infame del mundo (Chris Evans) en una misión trotamundos llena de acción para salvar la Navidad.",2024-10-31,Accion,6.982
El espantatiburones,Oscar es un pececito de verbo rápido que sueña con ser un pez gordo. Pero sus sueños le meten en agua estancada cuando una gran mentira le convierte en un improbable héroe. Al principio los demás peces se tragan el anzuelo de Oscar y le llueve la fama y la fortuna. Todo va con la marea a favor hasta que empieza a quedar claro que la historia que ha propagado Oscar de que es el gran defensor del atolón hace agua por todas partes. El pececito descubre que ser un héroe significa que su vida está de rebajas: su mentira le va a convertir en la pesca del día. Oscar debe aprender a navegar entre dos aguas para volver a encontrar la corriente a su favor.,2004-09-20,Accion,6.042
Creed II: La leyenda de Rocky,"Adonis Creed se debate entre las obligaciones personales y el entrenamiento para su próxima gran pelea, con el desafío de su vida por delante. Enfrentarse a un oponente que tiene vínculos con el pasado de su familia solo intensifica su inminente batalla en el ring. Afortunadamente Rocky Balboa está a su lado a lo largo de todo el camino, y juntos se cuestionarán por lo que vale la pena luchar y descubrirán que nada es más importante que la familia...",2018-11-21,Accion,7.034
Kıyma: Orman Kanunları,,2024-05-23,Accion,4.0
Los mercenarios,"Un grupo de mercenarios es contratado para infiltrarse en un país sudamericano y derrocar a su despiadado y corrupto dictador. Una vez allí, se verán atrapados en una telaraña de engaño y traición. Una vez fracasada la misión, tendrán que enfrentarse a un reto aún más difícil; salvar la unidad del grupo y la amistad que los ha unido durante largos años.",2010-08-07,Accion,6.252
Welcome to the Jungle,,2026-06-25,Accion,0.0
Scarlet,"Una princesa medieval experta en el manejo de la espada se embarca en una peligrosa misión para vengar la muerte de su padre. Tras fracasar en su misión y encontrarse gravemente herida en un 'Otromundo', conoce a un joven idealista de nuestro presente que no solo la ayuda a curarse, sino que le muestra la posibilidad de un futuro libre de amargura y rabia. Cuando se enfrenta de nuevo al asesino de su padre, Scarlet se enfrenta a su batalla más difícil: ¿podrá romper el ciclo del odio y encontrar un sentido a la vida más allá de la venganza?",2025-11-21,Accion,7.3
Baby Driver,"Baby, un joven y talentoso conductor especializado en fugas, depende del ritmo de su banda sonora personal para ser el mejor en lo suyo. Cuando conoce a la chica de sus sueños, Baby ve una oportunidad de abandonar su vida criminal y realizar una huida limpia. Pero después de haber sido forzado a trabajar para un jefe del crimen, deberá dar la cara cuando un malogrado golpe amenaza su vida, su amor y su libertad.",2017-06-28,Accion,7.444
Guardianes de la galaxia,"El temerario aventurero Peter Quill es objeto de un implacable cazarrecompensas después de robar una misteriosa esfera codiciada por Ronan, un poderoso villano cuya ambición amenaza todo el universo. Para poder escapar del incansable Ronan, Quill se ve obligado a pactar una complicada tregua con un cuarteto de disparatados inadaptados: Rocket, un mapache armado con un rifle, Groot, un humanoide con forma de árbol, la letal y enigmática Gamora y el vengativo Drax the Destroyer. Pero cuando Quill descubre el verdadero poder de la esfera, deberá hacer todo lo posible para derrotar a sus extravagantes rivales en un intento desesperado de salvar el destino de la galaxia.",2014-07-30,Accion,7.906
Capitán América: El primer vengador,"Nacido durante la Gran Depresión, Steve Rogers creció como un chico enclenque en una familia pobre. Horrorizado por las noticias que llegaban de Europa sobre los nazis, decidió enrolarse en el ejército; sin embargo, debido a su precaria salud, fue rechazado una y otra vez. Enternecido por sus súplicas, el general Chester Phillips le ofrece la oportunidad de tomar parte en un experimento especial: la Operación Renacimiento. Tras meses de preparación y entrenamiento recibe su primera misión como Capitán América. Armado con un escudo indestructible y su inteligencia para la batalla, el Capitán América emprende la guerra contra el mal, como centinela de la libertad y como líder de los Vengadores.",2011-07-22,Accion,7.008
Predators,"Royce es un mercenario que, a regañadientes, encabeza a un grupo de guerreros de élite que acaban dándose cuenta de que los han llevado juntos a otro planeta… para servir de presa. Con la excepción de un médico desprestigiado, todos ellos son unos desalmados asesinos —mercenarios, yakuzas, presidiarios, miembros de escuadrones de la muerte—, “depredadores” humanos que ahora están siendo cazados y eliminados sistemáticamente por una nueva raza de Depredadores extraterrestres.",2010-07-07,Accion,6.302
Lift: Un robo de primera clase,Un ladrón y su banda se preparan para dar un golpe de altura: robar 500 millones de dólares en oro de una caja fuerte... ¡a bordo de un avión a 9000 m de altitud!,2024-01-10,Accion,6.424
Pokémon Detective Pikachu,"Ryme City, una metrópoli futurista en la que los humanos y los Pokémon conviven en armonía. Tras la misteriosa desaparición de su padre, toda una leyenda en la ciudad, el joven Tim Goodman (Justice Smith) comienza una investigación para buscarle y averiguar lo que le ha sucedido. En esta misión le ayudará el adorable súper-detective Pikachu, un inteligente Pokémon que habla, aunque curiosamente el chico es el único que puede entenderle. Ambos unirán sus fuerzas y trabajarán juntos para resolver este gran misterio, con la ayuda de Lucy (Kathryn Newton), una reportera que trabaja en su primera gran historia. Será una aventura en la que descubrirán a entrañables personajes del universo Pokémon, además de una trama espeluznante que podría amenazar la convivencia pacífica de todo este universo.",2019-05-03,Accion,6.905
Gran Turismo,"Un adolescente jugaba a 'Gran Turismo', videojuego en el que ganó una serie de competiciones patrocinadas por Nissan, y le sirvió de trampolín para acabar convirtiéndose en un piloto de carreras profesional.",2023-08-09,Accion,7.7
The Creator,"En medio de una guerra futura entre la raza humana y las fuerzas de la inteligencia artificial, Joshua, un duro ex-agente de las fuerzas especiales que llora la desaparición de su esposa, es reclutado para cazar y matar al Creador, el escurridizo arquitecto de la IA avanzada que ha desarrollado una misteriosa arma con el poder de acabar con la guerra... y con la propia humanidad.",2023-09-27,Accion,7.041
Toxic,,2026-08-26,Accion,0.0
Ciudad sin ley,"Jang Chen llega de China y trabaja como prestamista en una sórdida zona de Chinatown en Seúl. Está respaldado por sus esbirros sanguinarios Wei Sung-Rak y Yang-Tae. Mientras tanto, Ma Suk-Do es un detective en el área de Chinatown de Seúl. Él trata de mantener la paz, mientras que dos pandillas chino-coreanas luchan por el poder.",2017-10-03,Accion,7.6
Desde París con amor,"A Charlie Wax (John Travolta), un singular agente secreto estadounidense, le ha sido encomendada en París una misión de alto riesgo relacionada con el terrorismo y el tráfico de cocaína. El problema es que tropezará con James Reece (Rhys Meyers), un empleado de la embajada norteamericana, nada acostumbrado a los métodos poco ortodoxos de Wax.",2010-02-04,Accion,6.405
"French Connection, contra el imperio de la droga","Jimmy Doyle y Buddy Rosso son dos policías neoyorquinos que siguen la pista de una red de traficantes de drogas. El primero, que confía en su olfato, sospecha que una confitería de Brooklyn está implicada y convence a su jefe para intervenir la línea telefónica. Poco después, Doyle y sus hombres siguen al dueño de la confitería, que los conduce hasta Nicoly y Charnier, dos franceses que acaban de llegar a Estados Unidos.",1971-10-09,Accion,7.498
The Equalizer 2,"Robert McCall imparte una justicia inquebrantable a los explotados y oprimidos, pero eso podría cambiar cuando se trata de un ser querido.",2018-07-19,Accion,6.8
Red One,"Tras el secuestro de Papá Noel (nombre en clave: RED ONE), el Jefe de Seguridad del Polo Norte (Dwayne Johnson) debe formar equipo con el cazarrecompensas más infame del mundo (Chris Evans) en una misión trotamundos llena de acción para salvar la Navidad.",2024-10-31,Accion,6.982
Creed II: La leyenda de Rocky,"Adonis Creed se debate entre las obligaciones personales y el entrenamiento para su próxima gran pelea, con el desafío de su vida por delante. Enfrentarse a un oponente que tiene vínculos con el pasado de su familia solo intensifica su inminente batalla en el ring. Afortunadamente Rocky Balboa está a su lado a lo largo de todo el camino, y juntos se cuestionarán por lo que vale la pena luchar y descubrirán que nada es más importante que la familia...",2018-11-21,Accion,7.034
Kıyma: Orman Kanunları,,2024-05-23,Accion,4.0
Starship Troopers: Las brigadas del espacio,"Johnny, Carmen, Dizzy y Ace son cuatro jóvenes amigos que finalizan el instituto y hacen planes para el futuro. En él domina el espacio como el lugar más apetecible para aprender un oficio y trabajar. La Tierra se halla en guerra con una raza de insectos alienígenas gigantes, y los cuatro amigos estudiarán disciplinas para destruirlos. Pero cada uno irá a una unidad diferente, según sus capacidades. Johnny se ve separado de su novia, Carmen, ya que él tiene que ir a infantería. El día que Johnny decide marcharse del ejército, los insectos arrasan su ciudad natal. Es la guerra.",1997-11-07,Accion,7.107
Welcome to the Jungle,,2026-06-25,Accion,0.0
Scarlet,"Una princesa medieval experta en el manejo de la espada se embarca en una peligrosa misión para vengar la muerte de su padre. Tras fracasar en su misión y encontrarse gravemente herida en un 'Otromundo', conoce a un joven idealista de nuestro presente que no solo la ayuda a curarse, sino que le muestra la posibilidad de un futuro libre de amargura y rabia. Cuando se enfrenta de nuevo al asesino de su padre, Scarlet se enfrenta a su batalla más difícil: ¿podrá romper el ciclo del odio y encontrar un sentido a la vida más allá de la venganza?",2025-11-21,Accion,7.3
Indiana Jones y el templo maldito,"1935. Shanghai. El intrépido arqueólogo Indiana Jones, tras meterse en jaleos en un local nocturno, consigue escapar junto a una bella cantante y su joven acompañante. Tras un accidentado vuelo, los tres acaban en la India, donde intentarán ayudar a los habitantes de un pequeño poblado, cuyos niños han sido raptados.",1984-05-23,Accion,7.308
Harakiri,"Un samurái pide permiso para practicarse el Seppuku (o Harakiri), ceremonia durante la cual se quitará la vida abriéndose el estómago al tiempo que otro samurái lo decapitará. Solicita también poder contar la historia que le ha llevado a tomar tan trágica decisión.",1962-09-15,Accion,8.4
Baby Driver,"Baby, un joven y talentoso conductor especializado en fugas, depende del ritmo de su banda sonora personal para ser el mejor en lo suyo. Cuando conoce a la chica de sus sueños, Baby ve una oportunidad de abandonar su vida criminal y realizar una huida limpia. Pero después de haber sido forzado a trabajar para un jefe del crimen, deberá dar la cara cuando un malogrado golpe amenaza su vida, su amor y su libertad.",2017-06-28,Accion,7.444
Pokémon Detective Pikachu,"Ryme City, una metrópoli futurista en la que los humanos y los Pokémon conviven en armonía. Tras la misteriosa desaparición de su padre, toda una leyenda en la ciudad, el joven Tim Goodman (Justice Smith) comienza una investigación para buscarle y averiguar lo que le ha sucedido. En esta misión le ayudará el adorable súper-detective Pikachu, un inteligente Pokémon que habla, aunque curiosamente el chico es el único que puede entenderle. Ambos unirán sus fuerzas y trabajarán juntos para resolver este gran misterio, con la ayuda de Lucy (Kathryn Newton), una reportera que trabaja en su primera gran historia. Será una aventura en la que descubrirán a entrañables personajes del universo Pokémon, además de una trama espeluznante que podría amenazar la convivencia pacífica de todo este universo.",2019-05-03,Accion,6.905
El retorno del Jedi,"Luke Skywalker y la princesa Leia deben viajar a Tatooine para liberar a Han Solo. Para conseguirlo, deben infiltrarse en la peligrosa guarida de Jabba the Hutt, el gángster más temido de la galaxia. Una vez reunidos, el equipo recluta a tribus de Ewoks para combatir a las fuerzas imperiales en los bosques de la luna de Endor. Mientras tanto, el Emperador y Darth Vader conspiran para convertir a Luke al lado oscuro, pero el joven Skywalker, por su parte, está decidido a reavivar el espíritu del Jedi en su padre. La guerra civil galáctica culmina en un último enfrentamiento entre las fuerzas rebeldes unificadas y una segunda Estrella de la Muerte, indefensa e incompleta, en una batalla que decidirá el destino de la galaxia.",1983-05-25,Accion,7.909
Guardianes de la galaxia,"El temerario aventurero Peter Quill es objeto de un implacable cazarrecompensas después de robar una misteriosa esfera codiciada por Ronan, un poderoso villano cuya ambición amenaza todo el universo. Para poder escapar del incansable Ronan, Quill se ve obligado a pactar una complicada tregua con un cuarteto de disparatados inadaptados: Rocket, un mapache armado con un rifle, Groot, un humanoide con forma de árbol, la letal y enigmática Gamora y el vengativo Drax the Destroyer. Pero cuando Quill descubre el verdadero poder de la esfera, deberá hacer todo lo posible para derrotar a sus extravagantes rivales en un intento desesperado de salvar el destino de la galaxia.",2014-07-30,Accion,7.906
Lift: Un robo de primera clase,Un ladrón y su banda se preparan para dar un golpe de altura: robar 500 millones de dólares en oro de una caja fuerte... ¡a bordo de un avión a 9000 m de altitud!,2024-01-10,Accion,6.424
Gran Turismo,"Un adolescente jugaba a 'Gran Turismo', videojuego en el que ganó una serie de competiciones patrocinadas por Nissan, y le sirvió de trampolín para acabar convirtiéndose en un piloto de carreras profesional.",2023-08-09,Accion,7.7
The Creator,"En medio de una guerra futura entre la raza humana y las fuerzas de la inteligencia artificial, Joshua, un duro ex-agente de las fuerzas especiales que llora la desaparición de su esposa, es reclutado para cazar y matar al Creador, el escurridizo arquitecto de la IA avanzada que ha desarrollado una misteriosa arma con el poder de acabar con la guerra... y con la propia humanidad.",2023-09-27,Accion,7.041
Toxic,,2026-08-26,Accion,0.0
Península,"Cuatro años después de la epidemia zombie, Corea sigue infestada de monstruos y el soldado Jung-seok, que escapó del país, se ve obligado a regresar a Seúl para recuperar un objeto valioso. Allí descubre que hay, todavía, personas sanas en la ciudad. Continuación de la aclamada película de zombis ""Train to Busan"".",2020-07-15,Accion,6.717
La jungla: Un buen día para morir,"Conservando la destreza y la actitud perseverante características de las anteriores entregas, que le han convertido en el mayor rival de todos los criminales que atentan contra la libertad de la humanidad y que han permitiendo la salvación de ésta en distintas situaciones y circunstancias, John McClane deberá viajar a Rusia para rescatar a su hijo que se encuentra encerrado en una prisión bajo las órdenes de un déspota líder ruso.  Padre e hijo tendrán que unir fuerzas para luchar contra su adversario, conseguir liberarse y mantenerse con vida. Así, los protagonistas se verán envueltos en una sucesión de extrema hostilidad que no solo pondrá su vida en peligro, también la del resto de ciudadanos. Su deber será hacer todo lo posible por conservar algo tan esencial en la sociedad actual como es la democracia, una libertad de la que el perverso y autoritario líder antagonista querrá apoderarse.",2013-02-06,Accion,5.333
Los mercen4rios,"Cuarta entrega de la saga Los Mercenarios. El veterano mercenario Barney “Esquizo” Ross (Sylvester Stallone) y su equipo de estrellas, formado por los hombres más duros (Jason Statham, Dolph Lundgren, 50 Cent, Megan Fox…), afrontan un nuevo desafío, en una trama cargada de acción. Para superarlo y salir airosos, deberán recurrir a su ingenio, experiencia y a la fuerza bruta que los caracteriza.",2023-09-15,Accion,6.1
Le llaman Bodhi,"Johnny Utah, un joven agente del FBI, se infiltra en los ambientes del surf para desenmascarar a una banda de atracadores que, como sello de identidad, usan caretas de presidentes de los Estados Unidos durante sus golpes. Pero Johnny pronto se encapricha de la guapa Tyler y, además, conoce a Bodhi, el jefe de la banda, un hombre que vive al límite y que acaba ejerciendo una gran influencia sobre el joven policía.",1991-07-12,Accion,7.154
V de Vendetta,"En un futuro no muy lejano, Gran Bretaña es un país totalitario dirigido con mano de hierro por un tirano (John Hurt). Una tarde, tras el toque de queda nocturno, la joven Evey (Natalie Portman) es rescatada en plena calle por un misterioso enmascarado cuyo nombre es V (Hugo Weaving). El extraño personaje le explica cuáles son sus planes para combatir la falta de libertad. A partir de ese momento, las acciones de V tendrán como objetivo hacer estallar en todo el país una revolución contra el gobierno fascista.",2006-02-23,Accion,7.902
Armageddon,"Un asteroide del tamaño del estado de Texas apunta directamente hacia la Tierra. En la NASA, tan sólo encuentran una posible solución: enviar a un equipo de astronautas al espacio para que destruya el meteorito antes de que colisione con nuestro planeta. Para ello recurren a Harry S. Stamper, el mayor experto en perforaciones petrolíferas, y a su cualificado equipo de perforadores, para que aterricen en la superficie del asteroide, lo perforen e introduzcan un dispositivo nuclear que al estallar consiga desviar su trayectoria y poder salvar el planeta, evitando así el armagedón.",1998-07-01,Accion,6.834
Misión hostil,"Kinney, un controlador de apoyo aéreo con poca experiencia, se incorpora a un equipo Delta Force en una misión en Filipinas. Cuando el equipo queda atrapado sin armas, las oportunidades de sobrevivir dependen de la habilidad de Reaper, un piloto de drones de las Fuerzas Aéreas.",2024-02-09,Accion,7.251
Agente 007 contra el Dr. No,"James Bond llega a Jamaica con la misión de investigar los asesinatos de un agente especial británico y su secretaria. Pero, al mismo tiempo, descubre la existencia de una siniestra organización en la isla Crab Key. En esta ocasión su enemigo es el Doctor No, que, ayudado por su cómplice, el profesor Dent, se propone ejecutar un siniestro plan: desviar la trayectoria de los cohetes de Cabo Cañaveral.",1962-10-07,Accion,6.983
Batman,"Atormentado por haber visto morir a sus padres delante suyo, Bruce Wayne se enfunda cada noche en el traje de Batman, adopta la terrorífica forma de un murciélago y surca los tejados de Gotham City combatiendo el crimen y manteniendo a raya la corrupción de su ciudad. Pero esta vez Batman tendrá que enfrentarse a su más terrible enemigo, El Joker, que pretende someter a toda la ciudad bajo los deseos de su mente perturbada.",1989-06-21,Accion,7.233
Ajuste de cuentas: La ciudad de los lobos,"Jake Rosser está atormentado por el trastorno de estrés postraumático de sus días como oficial K-9 y se esfuerza por llevar una vida pacífica con su familia y su compañero K-9 retirado, Socks. Pero la tranquilidad se disuelve rápidamente cuando una despiadada banda los persigue en un brutal ataque. Decidido a proteger a sus seres queridos, Jake y su nuevo compañero K-9 «Argos» se adentran en los violentos entresijos de la delincuencia, donde Jake se enfrenta a funcionarios corruptos, descubre una peligrosa red de tráfico de drogas y lucha contra sus propios demonios internos.",2025-11-13,Accion,6.61
Batman y Robin,"Unos experimentos de criogenia han convertido al Dr. Victor Fries en el malvado Mr. Freeze, un villano que necesita mantener su cuerpo a temperaturas gélidas y que, por ello, intentará congelar a todos los habitantes de la ciudad de Gotham. Por otro lado, la tímida botánica Pamela Isley se transformará en el transcurso de un experimento en la terrible Hiedra Venenosa, que querrá asesinar a todos los seres humanos de la tierra, para que las plantas recuperen su hegemonía sobre el planeta. Por este motivo, Batman y Robin deberán enfrentarse a ellos y detener sus siniestros planes.",1997-06-20,Accion,4.394
Los siete magníficos,"Siete forajidos son contratados por los desesperados habitantes del pueblo de Rose Creek para que les defiendan de la amenaza de un despiadado extorsionador llamado Bartholomew Bogue. Mientras preparan el pueblo para la violenta confrontación que saben se avecina inevitablemente, estos siete mercenarios se encontrarán luchando por algo más que el simple dinero.",2016-09-14,Accion,6.492
Desert Warrior,"Un pícaro honorable y misterioso, conocido como Hanzala, se convierte en enemigo del emperador Kisra después de ayudar a un rey y una princesa fugitivos en el desierto.",2026-04-23,Accion,5.7
Plan en familia 2,"Dan ha dejado atrás su pasado como asesino y lo único que quiere esta Navidad es pasar tiempo de calidad con sus hijos. Pero, al ver que su hija tiene otros planes, organiza un viaje familiar a Londres... y los pone a todos en la mira de un enemigo inesperado.",2025-11-11,Accion,6.531
L.E.T.H.A.L. Ladies: Return to Savage Beach,"Un disco compacto robado contiene la ubicación de un tesoro escondido. Depende de las ""Lethal Ladies"" encontrar el tesoro antes que lo hagan los criminales. Duodécima y última película de la serie de films creada por Andy Sidaris llamada ""Lethal Ladies (AKA Bullets, Bombs and Babes)"".",1998-01-27,Accion,6.04
El hombre del norte,"El príncipe Amleth está a punto de convertirse en hombre pero, en ese momento, su tío asesina brutalmente a su padre y secuestra a la madre del niño. Dos décadas después, Amleth es un vikingo que tiene la misión de salvar a su madre.",2022-04-07,Accion,7.0
Venom: habrá matanza,Eddie Brock  y su simbionte Venom todavía están intentando descubrir cómo vivir juntos cuando un preso que está en el corredor de la muerte se infecta con un simbionte propio.,2021-09-30,Accion,6.745
El corredor del laberinto: Las pruebas,"En este nuevo capítulo de la trepidante saga ""El Corredor del Laberinto"", Thomas (Dylan O'Brien) y el resto de clarianos tendrán que enfrentarse a su mayor desafío hasta el momento: buscar pistas sobre la misteriosa y poderosa organización conocida como CRUEL. Este viaje les llevará a “La Quemadura”, un apocalíptico lugar repleto de inimaginables obstáculos. Formando equipo con miembros de la resistencia, los clarianos deberán desenmascarar a las fuerzas superiores de CRUEL y averiguar qué planes tienen para todos ellos.",2015-09-09,Accion,6.729
Ralph rompe Internet,"Ralph sale de los recreativos, y se adentra en el mundo inexplorado, expansivo y emocionante de Internet. Ralph y su compañera Vanellope tendrán que jugárselo todo viajando por las redes en busca de una pieza de repuesto que salve Sugar Rush, el videojuego de Vanellope. Y para complicar más las cosas, ambos dependen de los ciudadanos de Internet, los llamados ‘ciudanets’ para que les ayuden a desenvolverse en ese peligroso mundo. Entre ellos está un empresario de Internet llamado Yesss, que es el algoritmo estrella y el alma de “BuzzTube”, la página web de moda del momento.",2018-11-20,Accion,7.162
El agente invisible,"El agente de la CIA Court Gentry (Ryan Gosling), alias Sierra Seis, fue sacado de una cárcel federal reclutado por su supervisor, Donald Fitzroy (Billy Bob Thornton) Tras 18 años de servicio, Gentry es uno de los mejores activos autorizados por la Agencia, pero las tornas cambian y se convierte en el objetivo, perseguido por Lloyd Hansen (Chris Evans), un antiguo compañero de la CIA de métodos muy cuestionables. La agente Dani Miranda (Ana de Armas) acaba siendo una inesperada y necesaria aliada que le cubrirá las espaldas.",2022-07-13,Accion,6.908
Starship Troopers: Las brigadas del espacio,"Johnny, Carmen, Dizzy y Ace son cuatro jóvenes amigos que finalizan el instituto y hacen planes para el futuro. En él domina el espacio como el lugar más apetecible para aprender un oficio y trabajar. La Tierra se halla en guerra con una raza de insectos alienígenas gigantes, y los cuatro amigos estudiarán disciplinas para destruirlos. Pero cada uno irá a una unidad diferente, según sus capacidades. Johnny se ve separado de su novia, Carmen, ya que él tiene que ir a infantería. El día que Johnny decide marcharse del ejército, los insectos arrasan su ciudad natal. Es la guerra.",1997-11-07,Accion,7.107
Mulán,"El emperador de China emite un decreto para reclutar a un varón por cada familia que deberá servir en el ejército imperial para defender al país de los invasores del norte. Hua Mulán, se presenta para evitar que su anciano padre sea llamado a filas. Se hace pasar por un hombre. Mulan deberá apelar a su fuerza interior y sacar a la luz todo su potencial.",2020-09-04,Accion,6.828
Immortal Combat,"Los guerreros más grandes de la historia, incluidos Gengis Kan y Juana de Arco, son convocados por una organización clandestina para luchar a muerte. Pero, sin que sus captores lo sepan, los combatientes han estado conspirando para cambiar el rumbo de los acontecimientos y desmantelar la letal organización desde dentro.",2026-04-24,Accion,5.1
Welcome to the Jungle,,2026-06-25,Accion,0.0
Indiana Jones y el templo maldito,"1935. Shanghai. El intrépido arqueólogo Indiana Jones, tras meterse en jaleos en un local nocturno, consigue escapar junto a una bella cantante y su joven acompañante. Tras un accidentado vuelo, los tres acaban en la India, donde intentarán ayudar a los habitantes de un pequeño poblado, cuyos niños han sido raptados.",1984-05-23,Accion,7.308
Harakiri,"Un samurái pide permiso para practicarse el Seppuku (o Harakiri), ceremonia durante la cual se quitará la vida abriéndose el estómago al tiempo que otro samurái lo decapitará. Solicita también poder contar la historia que le ha llevado a tomar tan trágica decisión.",1962-09-15,Accion,8.4
La ciudad perdida,Una solitaria novelista romántica de gira con el modelo de la portada de su último libro se ve envuelta en un intento de secuestro que llevará a ambos a una feroz aventura en la jungla.,2022-03-23,Accion,6.456
Pokémon Detective Pikachu,"Ryme City, una metrópoli futurista en la que los humanos y los Pokémon conviven en armonía. Tras la misteriosa desaparición de su padre, toda una leyenda en la ciudad, el joven Tim Goodman (Justice Smith) comienza una investigación para buscarle y averiguar lo que le ha sucedido. En esta misión le ayudará el adorable súper-detective Pikachu, un inteligente Pokémon que habla, aunque curiosamente el chico es el único que puede entenderle. Ambos unirán sus fuerzas y trabajarán juntos para resolver este gran misterio, con la ayuda de Lucy (Kathryn Newton), una reportera que trabaja en su primera gran historia. Será una aventura en la que descubrirán a entrañables personajes del universo Pokémon, además de una trama espeluznante que podría amenazar la convivencia pacífica de todo este universo.",2019-05-03,Accion,6.905
El retorno del Jedi,"Luke Skywalker y la princesa Leia deben viajar a Tatooine para liberar a Han Solo. Para conseguirlo, deben infiltrarse en la peligrosa guarida de Jabba the Hutt, el gángster más temido de la galaxia. Una vez reunidos, el equipo recluta a tribus de Ewoks para combatir a las fuerzas imperiales en los bosques de la luna de Endor. Mientras tanto, el Emperador y Darth Vader conspiran para convertir a Luke al lado oscuro, pero el joven Skywalker, por su parte, está decidido a reavivar el espíritu del Jedi en su padre. La guerra civil galáctica culmina en un último enfrentamiento entre las fuerzas rebeldes unificadas y una segunda Estrella de la Muerte, indefensa e incompleta, en una batalla que decidirá el destino de la galaxia.",1983-05-25,Accion,7.909
Alerta roja,"Cuando la Interpol envía una ""Alerta roja"", significa que los departamentos de Policía de todo el mundo deben estar alerta para capturar a los criminales más buscados. Todas las alarmas saltan cuando un temerario robo une al mejor agente del FBI (Johnson) con dos criminales rivales entre sí (Gadot & Reynolds). Una coincidencia que hará que suceda lo impredecible.",2021-11-04,Accion,6.731
Along with the Gods: Los dos mundos,"Tras morir de forma inesperada, el bombero Ja-hong es llevado al más allá por tres guardianes. Sólo si pasa una serie de juicios durante y demuestra que es inocente en su vida, es apto para reencarnarse. Sus tres guardianes le apoyarán y le defenderán.",2017-12-20,Accion,8.039
El corredor del laberinto: Las pruebas,"En este nuevo capítulo de la trepidante saga ""El Corredor del Laberinto"", Thomas (Dylan O'Brien) y el resto de clarianos tendrán que enfrentarse a su mayor desafío hasta el momento: buscar pistas sobre la misteriosa y poderosa organización conocida como CRUEL. Este viaje les llevará a “La Quemadura”, un apocalíptico lugar repleto de inimaginables obstáculos. Formando equipo con miembros de la resistencia, los clarianos deberán desenmascarar a las fuerzas superiores de CRUEL y averiguar qué planes tienen para todos ellos.",2015-09-09,Accion,6.729
Furia,"Cha Woo Sol fue intimidado por Bae Seok Chan durante sus días de escuela secundaria. Finalmente sintió una sensación de alivio cuando se inscribió en una escuela secundaria diferente a la de Bae Seok Chan, pero Bae Seok Chan se transfirió a la misma escuela secundaria a la que asiste Cha Woo Sol. Cha Woo Sol ya no puede soportar el acoso y ataca a Bae Seok Chan con un cuchillo. Posteriormente, Cha Woo Sol es condenado a 3 años de prisión para menores por el ataque. Mientras tanto, Bae Seok Chan tiene que dejar el boxeo debido a sus heridas por el ataque con cuchillo. Quiere vengarse y espera la liberación de Cha Woo Sol de la prisión de menores. En la prisión de menores, Cha Woo Sol conoce a Jung Do Hyun, quien es un ex campeón de MMA. Está en prisión por matar a tres personas que mataron a su familia. Para sobrevivir en prisión y para cuando se encuentre con Bae Seok Chan nuevamente, Cha Woo Sol le pide a Jung Do Hyun que le enseñe a pelear.",2021-11-26,Accion,7.73
Los ángeles de Charlie,"Una peculiar agencia de detectives dirigida por el multimillonario Charlie tiene en sus filas a Natalie (Cameron Diaz), Dylan (Drew Barrymore) y Alex (Lucy Liu), tres expertas en artes marciales, en disfraces y en la más avanzada tecnología. Juntas tendrán que ocuparse de un caso muy importante: el secuestro del genio de la informática Eric Knox (Sam Rockwell) por su rival Roger Corwin (Tim Curry). Si no consiguen liberarlo, quedaría destruida la intimidad de todo el mundo, incluido Charlie, su misterioso jefe.",2000-11-02,Accion,5.853
